de	的	9500
le	了	9300
shi	是	9200
wo	我	9100
ni	你	9000
ta	他	8800
ta	她	8700
women	我们	8600
nimen	你们	7800
tamen	他们	7600
zai	在	8500
you	有	8400
he	和	8300
bu	不	8200
ren	人	8100
zhongguo	中国	9000
beijing	北京	8900
shanghai	上海	8400
guangzhou	广州	7600
shenzhen	深圳	7500
tianjin	天津	7000
nanjing	南京	7000
hangzhou	杭州	7000
chengdu	成都	7000
chongqing	重庆	6900
wuhan	武汉	6900
xian	西安	6700
suzhou	苏州	6600
qingdao	青岛	6400
dalian	大连	6200
nihao	你好	10000
nihao	拟好	2000
nihaoshijie	你好世界	9800
shijie	世界	8500
guojia	国家	8000
renmin	人民	7900
chengshi	城市	7000
jintian	今天	9000
mingtian	明天	8600
zuotian	昨天	8200
xianzai	现在	8400
gangcai	刚才	6000
dengyi	等一	3000
yihou	以后	7600
yiqian	以前	7000
shijian	时间	8500
xiaoshi	小时	6500
fenzhong	分钟	6500
zaoshang	早上	7200
zhongwu	中午	7000
xiawu	下午	7200
wanshang	晚上	7400
xingqi	星期	7000
xingqiyi	星期一	6600
xingqier	星期二	6500
xingqisan	星期三	6500
xingqisi	星期四	6500
xingqiwu	星期五	6500
xingqiliu	星期六	6600
xingqitian	星期天	6800
xingtianqi	星期天	3000
tianqi	天气	7600
hen	很	8100
hao	好	8900
henhao	很好	8800
buhao	不好	7200
keyi	可以	8300
meiyou	没有	8300
yijing	已经	7800
haishi	还是	7600
yinwei	因为	7600
suoyi	所以	7600
ruguo	如果	7500
danshi	但是	7800
ranhou	然后	7800
erqie	而且	7200
huozhe	或者	7000
bingqie	并且	6500
xiexie	谢谢	9000
zaijian	再见	8500
qingwen	请问	8400
duibuqi	对不起	8300
meiguanxi	没关系	8200
qing	请	8000
bangmang	帮忙	7200
mafan	麻烦	7000
keqi	客气	6600
zaishuo	再说	6500
woxiang	我想	8800
xiang	想	8300
yao	要	8200
qu	去	8500
lai	来	8400
huilai	回来	7600
chuqu	出去	7400
woxiangqubeijing	我想去北京	5000
womenqubeijing	我们去北京	4200
chifan	吃饭	8200
hecha	喝茶	7000
heshui	喝水	7200
shuijiao	睡觉	7600
qichuang	起床	7100
gongzuo	工作	8300
xuexi	学习	8200
xuesheng	学生	8600
laoshi	老师	8200
xuexiao	学校	8000
daxue	大学	7800
zhongxue	中学	6500
xiaoxue	小学	6400
gongsi	公司	8000
xiangmu	项目	7600
chanpin	产品	7300
kaifa	开发	7600
ruanjian	软件	7400
yingjian	硬件	6000
diannao	电脑	7600
shouji	手机	7600
wangluo	网络	7400
xitong	系统	7300
wenjian	文件	7200
wenben	文本	6900
